"filename", "language", "C++", "Properties", "C", "Batch", "JSON with Comments", "LinkerScript", "ARM", "JSON", "YAML", "Ini", "comment", "blank", "total"
"c:\RV32\CH32V203\LearnADC\.clang-format", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 9, 12, 39
"c:\RV32\CH32V203\LearnADC\.eide.usr.ctx.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\RV32\CH32V203\LearnADC\.eide\debug.files.options.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 24, 5, 32
"c:\RV32\CH32V203\LearnADC\.eide\debug.riscv.gcc.options.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 38
"c:\RV32\CH32V203\LearnADC\.eide\eide.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 110, 0, 0, 0, 0, 110
"c:\RV32\CH32V203\LearnADC\.eide\env.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 5, 19
"c:\RV32\CH32V203\LearnADC\LearnADC.code-workspace", "JSON with Comments", 0, 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 125
"c:\RV32\CH32V203\LearnADC\download.cmd", "Batch", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 4, 7
"c:\RV32\CH32V203\LearnADC\dsp\controller\PID.cpp", "C++", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22
"c:\RV32\CH32V203\LearnADC\dsp\controller\PID.hpp", "C++", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 44
"c:\RV32\CH32V203\LearnADC\dsp\filter\KalmanFilter.cpp", "C++", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"c:\RV32\CH32V203\LearnADC\dsp\filter\KalmanFilter.hpp", "C++", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 34
"c:\RV32\CH32V203\LearnADC\dsp\floatlib\fastsqrt.h", "C", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 13, 71
"c:\RV32\CH32V203\LearnADC\dsp\floatlib\floatlib.h", "C", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\RV32\CH32V203\LearnADC\sdk\Core\core_riscv.c", "C", 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 167, 42, 334
"c:\RV32\CH32V203\LearnADC\sdk\Core\core_riscv.h", "C", 0, 0, 185, 0, 0, 0, 0, 0, 0, 0, 145, 48, 378
"c:\RV32\CH32V203\LearnADC\sdk\Ld\Link.ld", "LinkerScript", 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 30, 30, 188
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x.h", "C", 0, 0, 3799, 0, 0, 0, 0, 0, 0, 0, 401, 618, 4818
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_adc.h", "C", 0, 0, 152, 0, 0, 0, 0, 0, 0, 0, 36, 31, 219
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_bkp.h", "C", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 13, 9, 92
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_can.h", "C", 0, 0, 194, 0, 0, 0, 0, 0, 0, 0, 99, 66, 359
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_crc.h", "C", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 10, 6, 32
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_dbgmcu.h", "C", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 10, 7, 51
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_dma.h", "C", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 33, 28, 183
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_exti.h", "C", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 19, 15, 94
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_flash.h", "C", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 20, 18, 143
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_gpio.h", "C", 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 26, 18, 190
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_i2c.h", "C", 0, 0, 133, 0, 0, 0, 0, 0, 0, 0, 35, 32, 200
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_iwdg.h", "C", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 13, 9, 49
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_misc.h", "C", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 12, 8, 44
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_opa.h", "C", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 15, 12, 73
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_pwr.h", "C", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 14, 10, 63
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_rcc.h", "C", 0, 0, 195, 0, 0, 0, 0, 0, 0, 0, 29, 32, 256
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_rtc.h", "C", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 12, 20, 97
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_spi.h", "C", 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 50, 41, 219
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_tim.h", "C", 0, 0, 335, 0, 0, 0, 0, 0, 0, 0, 98, 74, 507
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_usart.h", "C", 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 45, 32, 186
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_wwdg.h", "C", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 11, 7, 40
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_adc.c", "C", 0, 0, 531, 0, 0, 0, 0, 0, 0, 0, 564, 114, 1209
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_bkp.c", "C", 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 121, 20, 243
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_can.c", "C", 0, 0, 712, 0, 0, 0, 0, 0, 0, 0, 368, 149, 1229
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_crc.c", "C", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 58, 10, 98
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_dbgmcu.c", "C", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 54, 11, 99
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_dma.c", "C", 0, 0, 148, 0, 0, 0, 0, 0, 0, 0, 261, 22, 431
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_exti.c", "C", 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 82, 12, 181
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_flash.c", "C", 0, 0, 519, 0, 0, 0, 0, 0, 0, 0, 340, 107, 966
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_gpio.c", "C", 0, 0, 356, 0, 0, 0, 0, 0, 0, 0, 247, 69, 672
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_i2c.c", "C", 0, 0, 430, 0, 0, 0, 0, 0, 0, 0, 458, 85, 973
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_iwdg.c", "C", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 75, 10, 121
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_misc.c", "C", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 39, 6, 108
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_opa.c", "C", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 46, 6, 85
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_pwr.c", "C", 0, 0, 181, 0, 0, 0, 0, 0, 0, 0, 168, 52, 401
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_rcc.c", "C", 0, 0, 435, 0, 0, 0, 0, 0, 0, 0, 493, 91, 1019
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_rtc.c", "C", 0, 0, 193, 0, 0, 0, 0, 0, 0, 0, 159, 22, 374
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_spi.c", "C", 0, 0, 289, 0, 0, 0, 0, 0, 0, 0, 297, 53, 639
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_tim.c", "C", 0, 0, 945, 0, 0, 0, 0, 0, 0, 0, 1238, 169, 2352
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_usart.c", "C", 0, 0, 385, 0, 0, 0, 0, 0, 0, 0, 354, 68, 807
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\src\ch32v20x_wwdg.c", "C", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 81, 14, 140
"c:\RV32\CH32V203\LearnADC\sdk\Startup\startup_ch32v20x_D6.S", "ARM", 0, 0, 0, 0, 0, 0, 240, 0, 0, 0, 14, 12, 266
"c:\RV32\CH32V203\LearnADC\sdk\Startup\startup_ch32v20x_D8.S", "ARM", 0, 0, 0, 0, 0, 0, 256, 0, 0, 0, 14, 10, 280
"c:\RV32\CH32V203\LearnADC\sdk\Startup\startup_ch32v20x_D8W.S", "ARM", 0, 0, 0, 0, 0, 0, 260, 0, 0, 0, 14, 12, 286
"c:\RV32\CH32V203\LearnADC\src\HX711\HX711.c", "C", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 3, 16, 92
"c:\RV32\CH32V203\LearnADC\src\HX711\HX711.h", "C", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 10, 38
"c:\RV32\CH32V203\LearnADC\src\MLX90640\I2C_Driver.c", "C", 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 22, 31, 181
"c:\RV32\CH32V203\LearnADC\src\MLX90640\I2C_Driver.h", "C", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24
"c:\RV32\CH32V203\LearnADC\src\MLX90640\ML90640_I2C_Driver.c", "C", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 20, 62
"c:\RV32\CH32V203\LearnADC\src\MLX90640\MLX90640_API.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1192, 264, 1456
"c:\RV32\CH32V203\LearnADC\src\MLX90640\MLX90640_API.h", "C", 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 16, 15, 142
"c:\RV32\CH32V203\LearnADC\src\MLX90640\MLX90640_I2C_Driver.h", "C", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 16, 6, 37
"c:\RV32\CH32V203\LearnADC\src\OV7670\SCCB_Driver.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 131, 7, 138
"c:\RV32\CH32V203\LearnADC\src\OV7670\SCCB_Driver.h", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 18, 57
"c:\RV32\CH32V203\LearnADC\src\SDcard\SPI2_Driver.c", "C", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 4, 10, 46
"c:\RV32\CH32V203\LearnADC\src\SDcard\SPI2_Driver.h", "C", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20
"c:\RV32\CH32V203\LearnADC\src\SSD1306\ssd1306.cpp", "C++", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 31
"c:\RV32\CH32V203\LearnADC\src\SSD1306\ssd1306.hpp", "C++", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 82
"c:\RV32\CH32V203\LearnADC\src\ST7735\st7735.cpp", "C++", 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 13, 124
"c:\RV32\CH32V203\LearnADC\src\ST7735\st7735.hpp", "C++", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 65
"c:\RV32\CH32V203\LearnADC\src\ST7789V2\st7789.cpp", "C++", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 48
"c:\RV32\CH32V203\LearnADC\src\ST7789V2\st7789.hpp", "C++", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 96
"c:\RV32\CH32V203\LearnADC\src\ST7789\SPI1_Driver.c", "C", 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 4, 40, 171
"c:\RV32\CH32V203\LearnADC\src\ST7789\SPI1_Driver.h", "C", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 10, 35
"c:\RV32\CH32V203\LearnADC\src\ST7789\font.h", "C", 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 1, 7, 106
"c:\RV32\CH32V203\LearnADC\src\ST7789\st7789.c", "C", 0, 0, 419, 0, 0, 0, 0, 0, 0, 0, 7, 104, 530
"c:\RV32\CH32V203\LearnADC\src\ST7789\st7789.h", "C", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 21, 75
"c:\RV32\CH32V203\LearnADC\src\TTP229\TTP229.c", "C", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 2, 12, 58
"c:\RV32\CH32V203\LearnADC\src\TTP229\TTP229.h", "C", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 8, 32
"c:\RV32\CH32V203\LearnADC\src\bus\bus.hpp", "C++", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 56
"c:\RV32\CH32V203\LearnADC\src\bus\i2c\i2csw.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\RV32\CH32V203\LearnADC\src\bus\i2c\i2csw.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 14, 52
"c:\RV32\CH32V203\LearnADC\src\bus\printer.cpp", "C++", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 86
"c:\RV32\CH32V203\LearnADC\src\bus\printer.hpp", "C++", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 122
"c:\RV32\CH32V203\LearnADC\src\bus\spi\spi2.cpp", "C++", 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 145
"c:\RV32\CH32V203\LearnADC\src\bus\spi\spi2.hpp", "C++", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 80
"c:\RV32\CH32V203\LearnADC\src\bus\spi\spi2_hs.cpp", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\RV32\CH32V203\LearnADC\src\bus\spi\spi2_hs.hpp", "C++", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 52
"c:\RV32\CH32V203\LearnADC\src\bus\uart\uart1.cpp", "C++", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 75
"c:\RV32\CH32V203\LearnADC\src\bus\uart\uart1.hpp", "C++", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 36
"c:\RV32\CH32V203\LearnADC\src\bus\uart\uart2.cpp", "C++", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 76
"c:\RV32\CH32V203\LearnADC\src\bus\uart\uart2.hpp", "C++", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 36
"c:\RV32\CH32V203\LearnADC\src\can_test.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 231, 74, 305
"c:\RV32\CH32V203\LearnADC\src\ch32v20x_conf.h", "C", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 9, 9, 41
"c:\RV32\CH32V203\LearnADC\src\ch32v20x_it.c", "C", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 23, 6, 41
"c:\RV32\CH32V203\LearnADC\src\ch32v20x_it.h", "C", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 9, 6, 18
"c:\RV32\CH32V203\LearnADC\src\clock\clock.c", "C", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 21, 13, 79
"c:\RV32\CH32V203\LearnADC\src\clock\clock.h", "C", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 20, 15, 69
"c:\RV32\CH32V203\LearnADC\src\defines\comm_inc.h", "C", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\RV32\CH32V203\LearnADC\src\defines\math_defs.h", "C", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 23, 89
"c:\RV32\CH32V203\LearnADC\src\defines\sys_defs.h", "C", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 1, 19, 83
"c:\RV32\CH32V203\LearnADC\src\defines\user_defs.h", "C", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 8, 25
"c:\RV32\CH32V203\LearnADC\src\errors\error_macros.cpp", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\RV32\CH32V203\LearnADC\src\errors\error_macros.h", "C", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 1, 7, 38
"c:\RV32\CH32V203\LearnADC\src\main.cpp", "C++", 437, 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 113, 651
"c:\RV32\CH32V203\LearnADC\src\old.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147, 34, 181
"c:\RV32\CH32V203\LearnADC\src\ringbuf\ringbuf.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\RV32\CH32V203\LearnADC\src\ringbuf\ringbuf.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\RV32\CH32V203\LearnADC\src\system_ch32v20x.c", "C", 0, 0, 553, 0, 0, 0, 0, 0, 0, 0, 283, 127, 963
"c:\RV32\CH32V203\LearnADC\src\system_ch32v20x.h", "C", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 10, 9, 31
"c:\RV32\CH32V203\LearnADC\tools\wch-interface.cfg", "Properties", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\RV32\CH32V203\LearnADC\tools\wch-target.cfg", "Properties", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"c:\RV32\CH32V203\LearnADC\types\basis\Basis.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 838, 137, 975
"c:\RV32\CH32V203\LearnADC\types\basis\Basis.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 238, 63, 301
"c:\RV32\CH32V203\LearnADC\types\buffer\buffer.hpp", "C++", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 37
"c:\RV32\CH32V203\LearnADC\types\buffer\ringbuf\ringbuf_t.hpp", "C++", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 58
"c:\RV32\CH32V203\LearnADC\types\buffer\stack\stack_t.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 15, 67
"c:\RV32\CH32V203\LearnADC\types\color\color_t.hpp", "C++", 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 217
"c:\RV32\CH32V203\LearnADC\types\color\color_t.tpp", "C++", 261, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 308
"c:\RV32\CH32V203\LearnADC\types\complex\complex_t.hpp", "C++", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 122
"c:\RV32\CH32V203\LearnADC\types\complex\complex_t.tpp", "C++", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 72
"c:\RV32\CH32V203\LearnADC\types\iq\iqt.cpp", "C++", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 35
"c:\RV32\CH32V203\LearnADC\types\iq\iqt.hpp", "C++", 330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 127, 457
"c:\RV32\CH32V203\LearnADC\types\matrix\matrix.cpp", "C++", 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 19, 172
"c:\RV32\CH32V203\LearnADC\types\matrix\matrix.hpp", "C++", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 38
"c:\RV32\CH32V203\LearnADC\types\matrix\matrix.tpp", "C++", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\RV32\CH32V203\LearnADC\types\quat\Quat.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 177, 34, 211
"c:\RV32\CH32V203\LearnADC\types\quat\Quat.hpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 113, 22, 135
"c:\RV32\CH32V203\LearnADC\types\real.cpp", "C++", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14, 90
"c:\RV32\CH32V203\LearnADC\types\real.hpp", "C++", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16, 51
"c:\RV32\CH32V203\LearnADC\types\rect2\rect2_t.hpp", "C++", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 38
"c:\RV32\CH32V203\LearnADC\types\rect2\rect2_t.tpp", "C++", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 49
"c:\RV32\CH32V203\LearnADC\types\rgb.h", "C", 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 41, 158
"c:\RV32\CH32V203\LearnADC\types\string\String.cpp", "C++", 607, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 101, 761
"c:\RV32\CH32V203\LearnADC\types\string\String.hpp", "C++", 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 26, 233
"c:\RV32\CH32V203\LearnADC\types\string\string_utils.c", "C", 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 23, 137
"c:\RV32\CH32V203\LearnADC\types\string\string_utils.h", "C", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 11, 31
"c:\RV32\CH32V203\LearnADC\types\uint24_t.h", "C", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 13, 41
"c:\RV32\CH32V203\LearnADC\types\vector2\vector2_t.hpp", "C++", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 130
"c:\RV32\CH32V203\LearnADC\types\vector2\vector2_t.tpp", "C++", 204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 246
"Total", "-", 3910, 10, 14138, 3, 125, 128, 756, 151, 21, 14, 10868, 4656, 34780